Date,Open,High,Low,Close,Adj Close,Volume
2023-06-27,331.859985,336.149994,329.299988,334.570007,331.375793,24354100
2023-06-28,334.660004,337.980011,333.809998,335.850006,332.643585,20259500
2023-06-29,334.709991,336.109985,332.619995,335.049988,331.851227,16997000
2023-06-30,337.750000,342.730011,337.200012,340.540009,337.288818,26823800
2023-07-03,339.190002,340.899994,336.570007,337.989990,334.763153,12508700
2023-07-05,335.089996,341.649994,334.730011,338.149994,334.921631,18172400
2023-07-06,337.299988,342.989990,335.500000,341.269989,338.011841,28161200
2023-07-07,339.320007,341.790009,337.000000,337.220001,334.000519,21185300
2023-07-10,334.600006,335.230011,327.589996,331.829987,328.661957,32791400
2023-07-11,331.059998,332.859985,327.000000,332.470001,329.295868,26698200
2023-07-12,336.600006,341.649994,335.670013,337.200012,333.980713,29995300
2023-07-13,339.559998,343.739990,339.019989,342.660004,339.388550,20567200
2023-07-14,347.589996,351.429993,344.309998,345.239990,341.943939,28302200
2023-07-17,345.679993,346.989990,342.200012,345.730011,342.429291,20363900
2023-07-18,345.829987,366.779999,342.170013,359.489990,356.057861,64872700
2023-07-19,361.750000,362.459991,352.440002,355.079987,351.690033,39732900
2023-07-20,353.570007,357.970001,345.369995,346.869995,343.558350,33778400
2023-07-21,349.149994,350.299988,339.829987,343.769989,340.487976,69368900
2023-07-24,345.850006,346.920013,342.309998,345.109985,341.815155,26678100
2023-07-25,347.109985,351.890015,345.070007,350.980011,347.629150,41637700
2023-07-26,341.440002,344.670013,333.109985,337.769989,334.545227,58383700
2023-07-27,340.480011,341.329987,329.049988,330.720001,327.562561,39635300
2023-07-28,333.670013,340.010010,333.170013,338.369995,335.139496,28484900
2023-07-31,336.920013,337.700012,333.359985,335.920013,332.712921,25446000
2023-08-01,335.190002,338.540009,333.700012,336.339996,333.128906,18311900
2023-08-02,333.630005,333.630005,326.359985,327.500000,324.373322,27761300
2023-08-03,326.000000,329.880005,325.950012,326.660004,323.541321,18253700
2023-08-04,331.880005,335.140015,327.239990,327.779999,324.650635,23727700
2023-08-07,328.369995,331.109985,327.519989,330.109985,326.958374,17741500
2023-08-08,326.959991,328.750000,323.000000,326.049988,322.937134,22327600
2023-08-09,326.470001,327.109985,321.049988,322.230011,319.153656,22373300
2023-08-10,326.019989,328.260010,321.179993,322.929993,319.846924,20113700
2023-08-11,320.260010,322.410004,319.209991,321.010010,317.945282,24342600
2023-08-14,321.390015,324.059998,320.079987,324.040009,320.946381,18836100
2023-08-15,323.000000,325.089996,320.899994,321.859985,318.787140,16966300
2023-08-16,320.799988,324.420013,319.799988,320.399994,318.013000,20698900
2023-08-17,320.540009,321.869995,316.209991,316.880005,314.519226,21257200
2023-08-18,314.489990,318.380005,311.549988,316.480011,314.122192,24744800
2023-08-21,317.929993,322.769989,317.040009,321.880005,319.481964,24040000
2023-08-22,325.500000,326.079987,321.459991,322.459991,320.057587,16102000
2023-08-23,323.820007,329.200012,323.459991,327.000000,324.563812,21166400
2023-08-24,332.850006,332.980011,319.959991,319.970001,317.586182,23281400
2023-08-25,321.470001,325.359985,318.799988,322.980011,320.573792,21684100
2023-08-28,325.660004,326.149994,321.720001,323.700012,321.288361,14808500
2023-08-29,321.880005,328.980011,321.880005,328.410004,325.963287,19284600
2023-08-30,328.670013,329.809998,326.450012,328.790009,326.340485,15222100
2023-08-31,329.200012,330.910004,326.779999,327.760010,325.318176,26411000
2023-09-01,331.309998,331.989990,326.779999,328.660004,326.211426,14931200
2023-09-05,329.000000,334.850006,328.660004,333.549988,331.065002,18553900
2023-09-06,333.380005,334.459991,330.179993,332.880005,330.399994,17535800
2023-09-07,331.290009,333.079987,329.029999,329.910004,327.452148,18381000
2023-09-08,330.089996,336.160004,329.459991,334.269989,331.779602,19530100
2023-09-11,337.239990,338.420013,335.429993,337.940002,335.422302,16583300
2023-09-12,335.820007,336.790009,331.480011,331.769989,329.298279,17565500
2023-09-13,331.309998,336.850006,331.170013,336.059998,333.556305,16544400
2023-09-14,339.149994,340.859985,336.570007,338.700012,336.176636,20267000
2023-09-15,336.920013,337.399994,329.649994,330.220001,327.759827,37666900
2023-09-18,327.799988,330.399994,326.359985,329.059998,326.608459,16834200
2023-09-19,326.170013,329.390015,324.510010,328.649994,326.201508,16505900
2023-09-20,329.510010,329.589996,320.510010,320.769989,318.380188,21436500
2023-09-21,319.260010,325.350006,315.000000,319.529999,317.149445,35529500
2023-09-22,321.320007,321.450012,316.149994,317.010010,314.648254,21447900
2023-09-25,316.589996,317.670013,315.000000,317.540009,315.174316,17836000
2023-09-26,315.130005,315.880005,310.019989,312.140015,309.814545,26297600
2023-09-27,312.299988,314.299988,309.690002,312.790009,310.459656,19410100
2023-09-28,310.989990,315.480011,309.450012,313.640015,311.303375,19683600
2023-09-29,317.750000,319.470001,314.980011,315.750000,313.397614,24140300
2023-10-02,316.279999,321.890015,315.179993,321.799988,319.402527,20570000
2023-10-03,320.829987,321.390015,311.209991,313.390015,311.055206,21033500
2023-10-04,314.029999,320.040009,314.000000,318.959991,316.583679,20720100
2023-10-05,319.089996,319.980011,314.899994,319.359985,316.980713,16965600
2023-10-06,316.549988,329.190002,316.299988,327.260010,324.821899,25645500
2023-10-09,324.750000,330.299988,323.179993,329.820007,327.362793,19891200
2023-10-10,330.959991,331.100006,327.670013,328.390015,325.943451,20557100
2023-10-11,331.209991,332.820007,329.140015,332.420013,329.943451,20063200
2023-10-12,330.570007,333.630005,328.720001,331.160004,328.692810,19313100
2023-10-13,332.380005,333.829987,326.359985,327.730011,325.288361,21072400
2023-10-16,331.049988,336.140015,330.600006,332.640015,330.161774,22158000
2023-10-17,329.589996,333.459991,327.410004,332.059998,329.586121,18338500
2023-10-18,332.489990,335.589996,328.299988,330.109985,327.650604,23153600
2023-10-19,332.149994,336.880005,330.910004,331.320007,328.851593,25052100
2023-10-20,331.720001,331.920013,325.450012,326.670013,324.236298,25012600
2023-10-23,325.470001,332.730011,324.390015,329.320007,326.866547,24374700
2023-10-24,331.299988,331.839996,327.600006,330.529999,328.067535,31153600
2023-10-25,345.019989,346.200012,337.619995,340.670013,338.131989,55053800
2023-10-26,340.540009,341.630005,326.940002,327.890015,325.447205,37828500
2023-10-27,330.429993,336.720001,328.399994,329.809998,327.352875,29856500
2023-10-30,333.410004,339.450012,331.829987,337.309998,334.796997,22828100
2023-10-31,338.850006,339.000000,334.690002,338.109985,335.591003,20265300
2023-11-01,339.790009,347.420013,339.649994,346.070007,343.491730,28158800
2023-11-02,347.239990,348.829987,344.769989,348.320007,345.724976,24348100
2023-11-03,349.630005,354.390015,347.329987,352.799988,350.171570,23624000
2023-11-06,353.450012,357.540009,353.350006,356.529999,353.873810,23828300
2023-11-07,359.399994,362.459991,357.630005,360.529999,357.844025,25833900
2023-11-08,361.679993,363.869995,360.549988,363.200012,360.494110,26767800
2023-11-09,362.299988,364.790009,360.359985,360.690002,358.002808,24847300
2023-11-10,361.489990,370.100006,361.070007,369.670013,366.915924,28042100
2023-11-13,368.220001,368.470001,365.899994,366.679993,363.948181,19986500
2023-11-14,371.010010,371.950012,367.350006,370.269989,367.511414,27683900
2023-11-15,371.279999,373.130005,367.109985,369.670013,367.660645,26860100
2023-11-16,370.959991,376.350006,370.179993,376.170013,374.125336,27182300
2023-11-17,373.609985,374.369995,367.000000,369.850006,367.839661,40157000
2023-11-20,371.220001,378.869995,371.000000,377.440002,375.388397,52465100
2023-11-21,375.670013,376.220001,371.119995,373.070007,371.042145,28423100
2023-11-22,378.000000,379.790009,374.970001,377.850006,375.796173,23345300
2023-11-24,377.329987,377.970001,375.140015,377.429993,375.378418,10176600
2023-11-27,376.779999,380.640015,376.200012,378.609985,376.552002,22179200
2023-11-28,378.350006,383.000000,378.160004,382.700012,380.619843,20453100
2023-11-29,383.760010,384.299988,377.440002,378.850006,376.790710,28963400
2023-11-30,378.489990,380.089996,375.470001,378.910004,376.850403,30554400
2023-12-01,376.760010,378.160004,371.309998,374.510010,372.474304,33020400
2023-12-04,369.100006,369.519989,362.899994,369.140015,367.133514,32063300
2023-12-05,366.450012,373.079987,365.619995,372.519989,370.495117,23065000
2023-12-06,373.540009,374.179993,368.029999,368.799988,366.795349,21182100
2023-12-07,368.230011,371.450012,366.320007,370.950012,368.933655,23118900
2023-12-08,369.200012,374.459991,368.230011,374.230011,372.195862,20144800
2023-12-11,368.480011,371.600006,366.100006,371.299988,369.281738,27708800
2023-12-12,370.850006,374.420013,370.459991,374.380005,372.345032,24838300
2023-12-13,376.019989,377.640015,370.769989,374.369995,372.335052,30955500
2023-12-14,373.309998,373.760010,364.130005,365.929993,363.940918,43277500
2023-12-15,366.850006,372.399994,366.279999,370.730011,368.714874,78478200
2023-12-18,369.450012,373.000000,368.679993,372.649994,370.624390,21802900
2023-12-19,371.489990,373.260010,369.839996,373.260010,371.231140,20603700
2023-12-20,375.000000,376.029999,370.529999,370.619995,368.605438,26316700
